n_all,n_strata,RR_star_lower,RR_star_upper,response,n_triads_per_stratum,haplo_freq_most_common_allele_stratum_1,alpha,rr,RR_stratum_1,RR_stratum_2,RR_stratum_3,haplo_freq_most_common_allele_stratum_2,haplo_freq_most_common_allele_stratum_3,RR.power_Haplotype_2
2,3,1,1,mult,100,0.95,5e-5,2.2,2.2,1,0.45454545454545453,0.95,0.95,0.02
2,3,1,1,mult,100,0.6,5e-6,2.2,2.2,1,0.45454545454545453,0.6,0.6,0.66
2,3,1,1,mult,100,0.65,5e-6,2.2,2.2,1,0.45454545454545453,0.65,0.65,0.61
2,3,1,1,mult,100,0.7,5e-6,2.2,2.2,1,0.45454545454545453,0.7,0.7,0.53
2,3,1,1,mult,100,0.75,5e-6,2.2,2.2,1,0.45454545454545453,0.75,0.75,0.42
2,3,1,1,mult,100,0.8,5e-6,2.2,2.2,1,0.45454545454545453,0.8,0.8,0.29
2,3,1,1,mult,100,0.85,5e-6,2.2,2.2,1,0.45454545454545453,0.85,0.85,0.16
2,3,1,1,mult,100,0.9,5e-6,2.2,2.2,1,0.45454545454545453,0.9,0.9,0.05
2,3,1,1,mult,100,0.95,5e-6,2.2,2.2,1,0.45454545454545453,0.95,0.95,0.01
2,3,1,1,mult,100,0.6,5.000000000000001e-7,2.2,2.2,1,0.45454545454545453,0.6,0.6,0.48
2,3,1,1,mult,100,0.65,5.000000000000001e-7,2.2,2.2,1,0.45454545454545453,0.65,0.65,0.43
2,3,1,1,mult,100,0.7,5.000000000000001e-7,2.2,2.2,1,0.45454545454545453,0.7,0.7,0.35
2,3,1,1,mult,100,0.75,5.000000000000001e-7,2.2,2.2,1,0.45454545454545453,0.75,0.75,0.26
2,3,1,1,mult,100,0.8,5.000000000000001e-7,2.2,2.2,1,0.45454545454545453,0.8,0.8,0.16
2,3,1,1,mult,100,0.85,5.000000000000001e-7,2.2,2.2,1,0.45454545454545453,0.85,0.85,0.07
2,3,1,1,mult,100,0.9,5.000000000000001e-7,2.2,2.2,1,0.45454545454545453,0.9,0.9,0.02
2,3,1,1,mult,100,0.95,5.000000000000001e-7,2.2,2.2,1,0.45454545454545453,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-8,2.2,2.2,1,0.45454545454545453,0.6,0.6,0.32
2,3,1,1,mult,100,0.65,5e-8,2.2,2.2,1,0.45454545454545453,0.65,0.65,0.28
2,3,1,1,mult,100,0.7,5e-8,2.2,2.2,1,0.45454545454545453,0.7,0.7,0.21
2,3,1,1,mult,100,0.75,5e-8,2.2,2.2,1,0.45454545454545453,0.75,0.75,0.14
2,3,1,1,mult,100,0.8,5e-8,2.2,2.2,1,0.45454545454545453,0.8,0.8,0.08
2,3,1,1,mult,100,0.85,5e-8,2.2,2.2,1,0.45454545454545453,0.85,0.85,0.03
2,3,1,1,mult,100,0.9,5e-8,2.2,2.2,1,0.45454545454545453,0.9,0.9,0.01
2,3,1,1,mult,100,0.95,5e-8,2.2,2.2,1,0.45454545454545453,0.95,0.95,0
2,3,1,1,mult,100,0.6,5e-10,2.2,2.2,1,0.45454545454545453,0.6,0.6,0.11
2,3,1,1,mult,100,0.65,5e-10,2.2,2.2,1,0.45454545454545453,0.65,0.65,0.09
2,3,1,1,mult,100,0.7,5e-10,2.2,2.2,1,0.45454545454545453,0.7,0.7,0.06
2,3,1,1,mult,100,0.75,5e-10,2.2,2.2,1,0.45454545454545453,0.75,0.75,0.03
2,3,1,1,mult,100,0.8,5e-10,2.2,2.2,1,0.45454545454545453,0.8,0.8,0.01
2,3,1,1,mult,100,0.85,5e-10,2.2,2.2,1,0.45454545454545453,0.85,0.85,0
2,3,1,1,mult,100,0.9,5e-10,2.2,2.2,1,0.45454545454545453,0.9,0.9,0
2,3,1,1,mult,100,0.95,5e-10,2.2,2.2,1,0.45454545454545453,0.95,0.95,0
2,3,1,1,mult,100,0.6,0.05,2.5,2.5,1,0.4,0.6,0.6,1
2,3,1,1,mult,100,0.65,0.05,2.5,2.5,1,0.4,0.65,0.65,1
