n_all,n_strata,RR_star_lower,RR_star_upper,response,RR_stratum_1,RR_stratum_2,RR_stratum_3,haplo_freq_most_common_allele_stratum_1,alpha,n_triads_per_stratum,haplo_freq_most_common_allele_stratum_2,haplo_freq_most_common_allele_stratum_3,RR.power_Haplotype_2
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-8,50,0.9,0.9,0
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5e-8,50,0.95,0.95,0
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-10,50,0.6,0.6,0.07
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-10,50,0.65,0.65,0.05
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-10,50,0.7,0.7,0.04
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-10,50,0.75,0.75,0.02
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-10,50,0.8,0.8,0.01
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5e-10,50,0.85,0.85,0
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-10,50,0.9,0.9,0
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5e-10,50,0.95,0.95,0
2,3,1,1,mult,3,1,0.3333333333333333,0.6,0.05,66,0.6,0.6,1
2,3,1,1,mult,3,1,0.3333333333333333,0.65,0.05,66,0.65,0.65,1
2,3,1,1,mult,3,1,0.3333333333333333,0.7,0.05,66,0.7,0.7,1
2,3,1,1,mult,3,1,0.3333333333333333,0.75,0.05,66,0.75,0.75,1
2,3,1,1,mult,3,1,0.3333333333333333,0.8,0.05,66,0.8,0.8,0.99
2,3,1,1,mult,3,1,0.3333333333333333,0.85,0.05,66,0.85,0.85,0.97
2,3,1,1,mult,3,1,0.3333333333333333,0.9,0.05,66,0.9,0.9,0.89
2,3,1,1,mult,3,1,0.3333333333333333,0.95,0.05,66,0.95,0.95,0.61
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-5,66,0.6,0.6,0.91
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-5,66,0.65,0.65,0.89
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-5,66,0.7,0.7,0.84
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-5,66,0.75,0.75,0.76
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-5,66,0.8,0.8,0.62
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5e-5,66,0.85,0.85,0.43
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-5,66,0.9,0.9,0.2
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5e-5,66,0.95,0.95,0.04
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5e-6,66,0.6,0.6,0.81
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5e-6,66,0.65,0.65,0.77
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5e-6,66,0.7,0.7,0.69
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5e-6,66,0.75,0.75,0.58
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5e-6,66,0.8,0.8,0.43
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5e-6,66,0.85,0.85,0.25
2,3,1,1,mult,3,1,0.3333333333333333,0.9,5e-6,66,0.9,0.9,0.09
2,3,1,1,mult,3,1,0.3333333333333333,0.95,5e-6,66,0.95,0.95,0.01
2,3,1,1,mult,3,1,0.3333333333333333,0.6,5.000000000000001e-7,66,0.6,0.6,0.66
2,3,1,1,mult,3,1,0.3333333333333333,0.65,5.000000000000001e-7,66,0.65,0.65,0.61
2,3,1,1,mult,3,1,0.3333333333333333,0.7,5.000000000000001e-7,66,0.7,0.7,0.52
2,3,1,1,mult,3,1,0.3333333333333333,0.75,5.000000000000001e-7,66,0.75,0.75,0.4
2,3,1,1,mult,3,1,0.3333333333333333,0.8,5.000000000000001e-7,66,0.8,0.8,0.26
2,3,1,1,mult,3,1,0.3333333333333333,0.85,5.000000000000001e-7,66,0.85,0.85,0.13
